Name,Type,Category,Description,License,GitHub_Stars,NPM_Downloads,Language,Maintainer,Platform_Support,Standards_Compliance,Security_Features,Integration,Documentation_Quality,Flexibility_Score,WCAG_Compliance,Maturity,Last_Updated,Community_Activity
Style Dictionary,Transform Tool,Open Source Library,Build system for creating cross-platform styles from design tokens,Apache-2.0,4300,39.5k+ dependent repositories,JavaScript,Amazon,"All platforms (iOS, Android, CSS, JS, HTML)",DTCG compatible,No built-in token secrets management,"CLI, Node.js module, Figma via plugins",5,5,3,Production Ready,2025-08-28,Very High
Tokens Studio for Figma,Design Tool Plugin,Open Source Plugin,Figma plugin for defining and using design tokens with sync capabilities,MIT,1500,8.4k+ dependent repositories,TypeScript,Jan Six / Tokens Studio,"Figma, GitHub sync, JSON export",W3C DTCG compatible,GitHub token integration,"Figma native, GitHub, Style Dictionary",5,4,4,Production Ready,2025-08-25,High
W3C Design Tokens Format Module,Standard/Specification,Open Standard,Official W3C standard for design tokens format and structure,W3C Document License,N/A,N/A,Specification,W3C Design Tokens Community Group,Universal (JSON format),Defines the standard,No security specifications,All compliant tools,5,5,3,Draft Specification,2025-09-01,Medium
Theo,Transform Tool,Open Source Library,"Design token formatter by Salesforce (legacy, no longer maintained)",BSD-3-Clause,1800,30+ dependent packages,JavaScript,Salesforce UX (archived),Multiple formats,Pre-DTCG format,Basic,"CLI, Node.js",3,3,2,Deprecated,2019,None
Design Tokens Plugin (Figma),Design Tool Plugin,Open Source Plugin,Export Figma styles and custom tokens to Style Dictionary format,MIT,280,N/A,TypeScript,Lukas Oppermann,Figma export to JSON,Style Dictionary compatible,GitHub integration,"Figma, GitHub, Style Dictionary",4,3,2,Partially Supported,2023,Low
Diez,Design System Framework,Open Source Framework,Free & open-source toolkit for expressing visual styles across codebases,Apache-2.0,1900,Limited,TypeScript,Diez Team,"iOS, Android, Web",Custom format,Basic,"Native mobile, web frameworks",4,4,3,Beta/Experimental,2024,Low
Radix UI Themes,Component Library with Tokens,Open Source Library,Component library with built-in design tokens system,MIT,7500,High usage,TypeScript,WorkOS,"React, CSS",Custom token system,Standard npm security,React applications,5,3,5,Production Ready,2025,Very High
Material Design 3 Tokens,Design System Tokens,Open Source System,Google's Material Design 3 design token system,Apache-2.0,Variable by implementation,Massive (via Material Design),Multiple,Google,"Android, Web, Flutter",Material Design spec,Enterprise grade,Material Design ecosystem,5,2,5,Production Ready,2025,Very High
Calcite Design Tokens,Design System Tokens,Open Source System,Esri's design system tokens for geospatial applications,Apache-2.0,300,Specialized usage,"CSS, JavaScript",Esri,"Web, Esri ecosystem",DTCG compatible,Enterprise security,"Calcite components, ArcGIS",5,3,5,Production Ready,2025,Medium
Atlassian Design Tokens,Design System Tokens,Open Source System,Atlassian's design token system for their design system,Apache-2.0,500,High in Atlassian ecosystem,"TypeScript, CSS",Atlassian,"Web, React",DTCG compatible,Enterprise grade,Atlassian Design System,5,3,5,Production Ready,2025,High
GitHub Primer Design Tokens,Design System Tokens,Open Source System,GitHub's Primer design system tokens,MIT,1200,High in GitHub ecosystem,"CSS, JavaScript",GitHub,"Web, React",DTCG compatible,GitHub security standards,"Primer components, GitHub products",5,3,5,Production Ready,2025,High
Penpot Design Tokens,Design Tool Native,Open Source Tool,First design tool with native design token support,MPL-2.0,1000,N/A (native tool),ClojureScript,Penpot Team,Web-based design tool,W3C DTCG native,Self-hosted option,"Style Dictionary, JSON export",4,5,4,Production Ready,2025,Medium
Storybook Design Token Addon,Documentation Tool,Open Source Addon,Display design tokens in Storybook documentation,MIT,300,Medium usage,JavaScript,UX-and-I,Storybook ecosystem,Format agnostic,Standard npm security,"Storybook, CSS files",4,4,3,Stable,2024,Medium
UCLA Library Design Tokens,Institution Tokens,Open Source System,Academic institution design token implementation example,Apache-2.0,50,Specialized usage,"SCSS, JavaScript",UCLA Library,"Web, Sass",DTCG compatible,Standard security,"GitHub Actions, Sass",4,3,4,Production (niche),2024,Low
Telekom Design Tokens,Corporate Tokens,Open Source System,Deutsche Telekom's design token system with brand restrictions,MPL-2.0 (with brand restrictions),200,Corporate usage,"CSS, JavaScript",Deutsche Telekom,Web platforms,DTCG compatible,Enterprise grade,Corporate design system,5,2,5,Production Ready,2025,Low
OpenTable Design Tokens,Corporate Tokens,Open Source System (Archived),OpenTable's design token system (now archived),Apache-2.0,100,Legacy,"JavaScript, SCSS",OpenTable (archived),Web,Pre-DTCG,Standard,Legacy systems,3,2,3,Archived,2020,None
MetaMask Design Tokens,Product Tokens,Open Source System,MetaMask's design tokens for crypto wallet interface,MIT,150,Crypto ecosystem,"JavaScript, CSS",MetaMask/ConsenSys,"Web, browser extension",Custom format,Crypto-grade security,MetaMask products,4,2,4,Production Ready,2025,Medium
Kiwi.com Orbit Design Tokens,Product Tokens,Open Source System,Travel industry design tokens for booking interfaces,MIT,400,Travel industry,JavaScript,Kiwi.com,"Web, mobile web",DTCG compatible,Standard security,Orbit design system,5,3,5,Production Ready,2025,Medium
BC Design Tokens,Government Tokens,Open Source System,British Columbia government design token system,Apache-2.0,80,Government usage,"TypeScript, CSS",Government of BC,"Web, government systems",DTCG compatible,Government security,BC Design System,5,3,5,Production Ready,2025,Low
Mozilla Protocol Tokens,Organization Tokens,Open Source System,Mozilla's design system tokens for Firefox and web products,MPL-2.0,200,Mozilla ecosystem,"CSS, JavaScript",Mozilla,"Web, Firefox ecosystem",DTCG compatible,Mozilla security standards,Protocol design system,5,3,5,Production Ready,2025,Medium
